name	ID	CntrUS_vs_CntrStim_p.val	FarnStim_vs_CntrStim_p.val	FarnStim_vs_CntrUS_p.val	FarnStim_vs_GeraStim_p.val	FarnStim_vs_GeraUS_p.val	FarnUS_vs_CntrStim_p.val	FarnUS_vs_CntrUS_p.val	FarnUS_vs_FarnStim_p.val	FarnUS_vs_GeraStim_p.val	FarnUS_vs_GeraUS_p.val	GeraStim_vs_CntrStim_p.val	GeraStim_vs_CntrUS_p.val	GeraUS_vs_CntrStim_p.val	GeraUS_vs_CntrUS_p.val	GeraUS_vs_GeraStim_p.val	CntrUS_vs_CntrStim_p.adj	FarnStim_vs_CntrStim_p.adj	FarnStim_vs_CntrUS_p.adj	FarnStim_vs_GeraStim_p.adj	FarnStim_vs_GeraUS_p.adj	FarnUS_vs_CntrStim_p.adj	FarnUS_vs_CntrUS_p.adj	FarnUS_vs_FarnStim_p.adj	FarnUS_vs_GeraStim_p.adj	FarnUS_vs_GeraUS_p.adj	GeraStim_vs_CntrStim_p.adj	GeraStim_vs_CntrUS_p.adj	GeraUS_vs_CntrStim_p.adj	GeraUS_vs_CntrUS_p.adj	GeraUS_vs_GeraStim_p.adj	CntrUS_vs_CntrStim_significant	FarnStim_vs_CntrStim_significant	FarnStim_vs_CntrUS_significant	FarnStim_vs_GeraStim_significant	FarnStim_vs_GeraUS_significant	FarnUS_vs_CntrStim_significant	FarnUS_vs_CntrUS_significant	FarnUS_vs_FarnStim_significant	FarnUS_vs_GeraStim_significant	FarnUS_vs_GeraUS_significant	GeraStim_vs_CntrStim_significant	GeraStim_vs_CntrUS_significant	GeraUS_vs_CntrStim_significant	GeraUS_vs_CntrUS_significant	GeraUS_vs_GeraStim_significant	significant	CntrUS_vs_CntrStim_ratio	FarnStim_vs_CntrStim_ratio	FarnStim_vs_CntrUS_ratio	FarnStim_vs_GeraStim_ratio	FarnStim_vs_GeraUS_ratio	FarnUS_vs_CntrStim_ratio	FarnUS_vs_CntrUS_ratio	FarnUS_vs_FarnStim_ratio	FarnUS_vs_GeraStim_ratio	FarnUS_vs_GeraUS_ratio	GeraStim_vs_CntrStim_ratio	GeraStim_vs_CntrUS_ratio	GeraUS_vs_CntrStim_ratio	GeraUS_vs_CntrUS_ratio	GeraUS_vs_GeraStim_ratio	CntrStim_centered	CntrUS_centered	FarnStim_centered	FarnUS_centered	GeraStim_centered	GeraUS_centered
ADAM10	O14672	0.585827139586877	1.70256523272564e-10	5.3841945008632e-10	6.086202897713149e-11	1.53434946277851e-12	7.664244885077709e-11	2.3586955173323703e-10	0.697043426691493	1.34449647428977e-10	3.10524148204258e-12	1.20580940281688e-17	2.3218243634177602e-17	1.32422370300898e-18	2.42171762940725e-18	0.0607547762260902	0.921	9.08e-06	0.0013	0.00239	0.00126	0.00205	5.11e-08	0.902	0.0618	0.0017	3.13e-05	2.77e-05	4.64e-05	8.57e-07	0.744	False	True	True	True	True	True	True	False	False	True	True	True	True	True	False	True	0.0901	1.66	1.57	-1.74	-2.06	1.72	1.63	0.0643	-1.68	-2.0	3.4	3.31	3.72	3.63	0.32	-1.76	-1.67	-0.107	-0.0425	1.63	1.95
ADCY7	P51828	0.613827507312318	0.0068244537281417	0.0223698138598044	2.36285226856836e-07	4.8271131458109e-10	0.0565485824920189	0.149516142508347	0.353739949944479	2.43381276444849e-08	6.92887158969297e-11	2.9263677356954803e-10	8.630180130732371e-10	1.61729277578042e-12	4.05607179496234e-12	0.012007235264487	0.923	0.614	0.815	0.136	0.0335	0.844	0.803	0.858	0.251	0.0114	0.192	0.183	0.0993	0.0381	0.531	False	False	False	False	True	False	False	False	False	True	False	False	False	True	False	True	0.0993	0.572	0.472	-1.35	-1.88	0.388	0.289	-0.184	-1.53	-2.06	1.92	1.82	2.45	2.35	0.525	-0.905	-0.805	-0.333	-0.516	1.02	1.54
ARL6IP1	Q15041	0.0014943319140641	1.10796448223632e-08	8.10981245191821e-05	6.51394000791923e-07	1.5317790145372e-07	1.22863798302104e-08	9.12602011935067e-05	0.964561623522265	5.82009909269459e-07	1.37285005522206e-07	4.294521031652e-14	2.0606358965181398e-11	1.7421275704258802e-14	6.83294704450873e-12	0.564400167782033	0.413	0.000745	0.383	0.182	0.211	0.0366	0.0669	0.919	0.469	0.244	0.00967	0.0716	0.0204	0.0466	0.91	False	True	False	False	False	True	False	False	False	False	True	False	True	True	False	True	1.15	2.66	1.51	-2.11	-2.3	2.64	1.49	-0.0145	-2.13	-2.31	4.77	3.62	4.96	3.81	0.189	-2.7	-1.55	-0.0383	-0.0528	2.07	2.26
ARL6IP6	Q8N6S5	0.0122586319688047	0.390424307420292	0.0014416913648742	4.90593772543835e-13	9.94835023429331e-14	0.490274805815789	0.0022373786747297	0.863472168217364	3.65401276489548e-13	7.524560132109321e-14	1.1472197833152e-13	1.9547476427881304e-15	2.50750393493445e-14	5.20402045881901e-16	0.345198341422433	0.667	0.891	0.644	3.78e-05	0.00018	0.907	0.292	0.913	0.0035	7.55e-05	0.0147	0.000932	0.024	0.000252	0.884	False	False	False	True	True	False	False	False	True	True	True	True	True	True	False	True	-0.747	0.242	0.989	-3.68	-3.95	0.194	0.941	-0.0482	-3.73	-4.0	3.92	4.67	4.19	4.94	0.267	-1.3	-2.05	-1.06	-1.11	2.62	2.89
ATP11B	Q9Y2G3	0.110494973933136	3.0176096796551e-11	8.90169885189052e-10	7.01952909705441e-14	4.00752139208867e-14	3.24400745691923e-12	7.5739725472995e-11	0.24615285517209	4.97336547411833e-13	2.73323126228557e-13	8.262043327979531e-20	4.3611752903283e-19	5.85819622005657e-20	3.02561467286075e-19	0.725823823565976	0.845	8.93e-07	0.00184	3.85e-06	7.12e-05	0.000158	6.44e-09	0.829	0.00407	0.000259	4.74e-08	2.61e-07	1.29e-06	4.15e-08	0.922	False	True	True	True	True	True	True	False	True	True	True	True	True	True	False	True	0.418	2.78	2.37	-3.65	-3.74	3.08	2.67	0.3	-3.35	-3.44	6.44	6.02	6.53	6.11	0.0896	-3.21	-2.79	-0.424	-0.124	3.23	3.32
ATP1B3	P54709	0.936201194617604	1.81585460783288e-08	2.19303962887894e-08	3.40200340129052e-10	1.07326151583097e-08	0.0006986347683103	0.0008606122988134	0.0003091429879686	1.51670751355746e-13	2.24250640403967e-12	5.04486466670778e-16	5.62447628096425e-16	4.5264454474597e-15	5.091159161971261e-15	0.128182308305053	0.937	0.00116	0.0147	0.00699	0.104	0.623	0.197	0.0904	0.00221	0.00135	0.000707	0.000423	0.0114	0.00107	0.815	False	True	True	True	False	False	False	False	True	True	True	True	True	True	False	True	0.0113	1.12	1.11	-1.37	-1.15	0.537	0.526	-0.581	-1.95	-1.73	2.49	2.48	2.27	2.26	-0.219	-1.07	-1.06	0.0478	-0.533	1.42	1.2
BAG6	P46379	0.000753570572039	2.4477178960817e-06	3.24255949183983e-10	3.28033834059934e-05	0.0059725454452792	7.94053751999004e-05	5.9119672513133806e-09	0.194037582824673	1.03912232170047e-06	0.0001999160009642	2.90241933617126e-11	3.7299732458864403e-14	1.8973917894227703e-09	1.05163205119956e-12	0.0537930079130177	0.34	0.0363	0.000902	0.463	0.817	0.457	8.08e-06	0.808	0.511	0.775	0.107	0.00525	0.378	0.0215	0.731	False	True	True	False	False	False	True	False	False	False	False	True	False	True	False	True	-0.451	0.711	1.16	-0.593	-0.354	0.553	1.0	-0.158	-0.75	-0.512	1.3	1.76	1.06	1.52	-0.239	-0.53	-0.982	0.181	0.023	0.773	0.535
BAX	Q07812	0.0303093763094447	6.660717367924431e-09	1.70236279663624e-06	2.42638051011879e-05	6.42726898602769e-08	1.99089230582729e-09	4.35472325801996e-07	0.59378055772706	0.0001004123111026	2.3919177602555e-07	2.91558543118194e-13	1.7685818060743e-11	7.292587303179891e-15	2.66361117520087e-13	0.0269313464905796	0.753	0.00047	0.117	0.437	0.17	0.0159	0.0013	0.892	0.764	0.287	0.0219	0.0685	0.0141	0.0112	0.646	False	True	False	False	False	True	True	False	False	False	True	False	True	True	False	True	0.509	1.88	1.37	-1.14	-1.66	2.0	1.49	0.12	-1.02	-1.54	3.01	2.51	3.54	3.03	0.521	-1.82	-1.31	0.0538	0.174	1.19	1.71
C18orf32	Q8TCD1	0.0914416256807298	9.65515795822255e-18	8.04556565573448e-17	0.683624204163078	0.364444360487609	3.94717292374945e-17	3.69215856782246e-16	0.249016093260632	0.123670721412525	0.0454123842715447	6.00133882785702e-18	4.81524672710111e-17	3.36578742783779e-18	2.58125994832665e-17	0.613654783360052	0.834	4.64e-14	7.23e-14	0.937	0.917	3.24e-12	3.41e-14	0.83	0.927	0.925	1.51e-05	5.25e-05	0.000107	1.48e-05	0.914	False	True	True	False	False	True	True	False	False	False	True	True	True	True	False	True	0.523	6.26	5.74	-0.123	-0.275	5.91	5.38	-0.352	-0.475	-0.627	6.38	5.86	6.53	6.01	0.152	-4.27	-3.74	1.99	1.64	2.11	2.27
CANX	P27824	0.48403212207817	0.0028954327009358	0.000472175015609	4.8947667795033395e-11	2.0742092540464798e-12	0.0058036405371078	0.0009803210342187	0.779745500346886	2.8136602912621797e-11	1.2567125154843199e-12	1.3296307449827e-13	4.26886896155454e-14	9.660020477470861e-15	3.4168818882025e-15	0.104699423709067	0.914	0.523	0.549	0.00207	0.0015	0.749	0.208	0.908	0.035	0.000899	0.0156	0.00561	0.0158	0.000832	0.797	False	False	False	True	True	False	False	False	True	True	True	True	True	True	False	True	-0.0613	0.284	0.345	-0.929	-1.07	0.259	0.321	-0.0244	-0.953	-1.1	1.21	1.27	1.36	1.42	0.145	-0.509	-0.57	-0.225	-0.249	0.704	0.849
